Unnamed: 0,Question,A,B,C,D,Answer,Subject,Macrodomain
429,"Em uma segunda-feira, um homem disse a um jardineiro: “Vou dar uma festa no domingo e quero que minha case fique bonita. Se você prometer cortar a grama até sábado, te pago US$ 50”. Na sexta-feira, o jardineiro chegou à casa do home na hora que ele estava indo para o trabalho e começou a cortar a grama. O homem não disse nada para o jardineiro, mas, enquanto arrancava com o carro, viu o jardineiro descarregar o cortador de grama. Quando o homem chegou em casa de noite depois do trabalho, percebeu que apenas metade da grama havia sido cortada. Depois, encontrou um bilhete do jardineiro na caixa de correspondência. Dizia o bilhete: “Desculpe, mas acabou o combustível do cortador de grama e eu fiquei sem tempo de comprar mais para terminar o trabalho. Vou tirar folga no fim de semana, mas volto na segunda-feira de manhã para encerrar o trabalho”. Caso o homem processo o jardineiro por descumprimento contratual, é provável que quem saia vencedor?","O jardineiro, pois em momento nenhum ele aceitou a oferta feita pelo homem.","O jardineiro, pois ele se ofereceu para sanar vício na execução encerrando o trabalho na segunda-feira de manhã.","O homem, pois a execução parcial do jardineiro necessariamente implica aceitação e promessa de que entregaria a execução completa.","O homem, pois, de acordo com a teoria da preclusão equitativa, a execução parcial do jardineiro consiste em prova de sua intenção de honrar a integralidade do contrato.",C,professional_law,"Law, Governance, and Ethics"
206,"De acordo com Lukianoff e Haidt, a tendência recente de descobrir microagressões incentiva",estudantes confabularem razões.,"a busca pela justiça, marcando o racismo, o sexismo e o classismo.","rotulagem, atribuindo traços negativos globais às pessoas.",universidades a suportar obrigações legais excessivamente onerosas.,C,moral_disputes,"Law, Governance, and Ethics"
345,"Um varejista entrou com uma ação federal de diversidade contra um atacadista, alegando descumprimento contratual e declaração fraudulenta. Depois que as partes apresentaram suas provas no julgamento, o tribunal instruiu o júri sobre a lei. Nenhuma das partes apresentou pedido para que o juiz profira a sentença (e não o júri) antes de o caso ir a júri. O júri julgou procedente o pedido do varejista em ambas as alegações. Depois que o tribunal proferiu o veredicto, o atacadista requereu um novo julgamento e um julgamento de questão de direito, argumentando que as provas foram insuficientes para fundamentar o veredicto do júri nas duas alegações. O tribunal reconheceu que havia problemas com algumas das provas, mas rejeitou os pedidos. O atacadista recorreu, questionando a suficiência das provas. O tribunal recursal deve acatar a impugnação do atacadista?","Não, pois a avaliação da suficiência da prova é da competência somente do júri. ","Não, pois o atacadista não apresentou questão de suficiência de prova em um pedido de julgamento de questão de direito antes de o processo ter ido ao júri. ","Sim, pois a impugnação foi apresentada e julgada pelo juízo de primeiro grau antes de o atacadista ter interposto recurso. ","Sim, pois, como o juízo de primeiro grau reconheceu, o a impugnação do atacadista tem argumentos fortes. ",B,professional_law,"Law, Governance, and Ethics"
190,"Um homem e uma mulher se juntaram para assaltar um banco. Ao saírem do banco depois do roubo, foram confrontados por policiais armados. O homem apontou a arma para os policiais e um tiroteio se seguiu. O homem ficou ferido, mas sobreviveu; a mulher que estava com ele morreu com o tiro de um policial. As autoridades acusaram o homem de homicídio doloso da mulher. Ele foi condenado e apelou. De acordo com a visão moderna prevalecente do homicídio praticado durante a prática de outro crime, é provável que o tribunal de segunda instância anule a condenação por homicídio de primeiro grau?","Sim, pois a regra do crime de homicídio praticado durante a prática de outro crime foi declarada inconstitucional.","Sim, pois a opinião maioritária é que o homicídio praticado durante a prática de outro crime não se aplica se um comparsa for morto por um terceiro durante a prática do crime.","Não, pois todos os estados reconhecem que o homicídio praticado durante a prática de outro crime se aplica a quaisquer mortes que acontecem durante a prática do crime, independentemente de quem fez o disparo fatal.","Não, pois o homem iniciou o tiroteio em vez de se entregar; ele causou a morte da mulher e deve ser condenado por homicídio de primeiro grau.",B,professional_law,"Law, Governance, and Ethics"
49,Incluir mais de uma alegação em uma proposição pode levar à qual falácia?,da questão complexa,do apelo à ignorância,Proposição composta,da extensão,C,logical_fallacies,"Law, Governance, and Ethics"
1186,"Um cliente processou uma empresa de impressão por negligência, alegando que os cartões de feriados que ele pediu especialmente eram de má qualidade e tinham o seu nome grafado erradamente. Em juízo, o cliente exibe ao tribunal uma declaração impressa de uma associação de impressores definindo o padrão mínimo de habilidade para o setor de impressão na comunidade. O cliente pede ao tribunal para levar em consideração a notificação judicial que a declaração impressa constitui o padrão aplicável de cuidado para empresas de impressão na área. O tribunal deve","conceder o pedido, porque ele promove disposição rápida e econômica dos procedimentos.","conceder o pedido, porque o padrão de cuidado é amplamente apoiado pelas informações fornecidas ao tribunal.","negar o pedido, porque uma notificação judicial não pode assumir assuntos que são os problemas finais no caso.","negar o pedido, porque se o juiz determina que a declaração é sujeita a uma disputa razoável.",D,professional_law,"Law, Governance, and Ethics"
13,Berkeley afirma que existir e perceber _____.,constituem uma única e a mesma coisa,não existem,são duas coisas distintas,são coisas imaginárias,A,philosophy,"Law, Governance, and Ethics"
325,"Se, supostamente, Nathan alegar que nem seres não humanos nem seres não sencientes têm posicionamento moral direto, ainda devemos ter uma certa consideração não instrumental quanto ao ambiente, pois, se isso não for levado em conta, envolveria um desvio de caráter moral. Qual teoria moral Nathan provavelmente está aplicando?",ética das virtudes,consequencialismo,Teoria de Kant,Ética de prima facie duty,A,moral_disputes,"Law, Governance, and Ethics"
156,Qual das alternativas a seguir é um exemplo de virtude de caráter?,altura,honestidade,beleza física,simplicidade,B,moral_disputes,"Law, Governance, and Ethics"
1046,"Um policial observava dois homens agindo de forma suspeita em frente a uma loja de conveniência. Eles andavam de um lado para o outro, rodeavam a loja e olhavam de tempos em tempos pela janela. O policial experiente temia que essas pessoas estivessem muito provavelmente a ""vigiando"" o local antes de o assaltarem. Ele se aproximou, identificou-se e revistou a roupa exterior de cada um deles. Encontrou uma arma de fogo no bolso de cada um deles e prendeu-os por porte de armas escondidas. Será que o tribunal vai excluirá as armas como prova com base no fato de não haver indícios suficientes de autoria e de materialidade e na inconstitucionalidade da revista?","Sim, pois não havia indícios suficientes de autoria e de materialidade para se acreditar que um crime estava sendo cometido.","Não, pois o policial suspeitava que alguma atividade criminosa estava em andamento.","Não, pois o policial tinha indícios suficientes de autoria e de materialidade para acreditar que algum crime estava sendo tentado.","Sim, pois o policial não tem permissão para tirar nada dos bolsos dos homens durante a revista.",B,professional_law,"Law, Governance, and Ethics"
683,"Após uma festa em que todos os adultos beberam álcool, com todos tomando pelo menos seis cervejas, eles começaram um jogo de beisebol. O anfitrião forneceu os tacos, as bolas e as luvas. Surgiu uma discussão no home plate após uma decisão controversa do árbitro, que estava embriagado como todos os outros participantes. O anfitrião da festa ficou furioso com a decisão do árbitro e bateu em seu rosto, quebrando seu nariz. O árbitro apresentou queixa quando ficou sóbrio, e as autoridades acusaram o anfitrião de vias de fato. Em juízo, a defesa apresentou a defesa de embriaguez voluntária, argumentando que o anfitrião não tinha a mentalidade necessária para ter intenção de cometer vias de fato. A defesa de embriaguez voluntária será acolhida nesses fatos?","Sim, vias de fato é um tipo penal específico com dolo ao qual embriaguez voluntária poderá ser alegado como defesa. ","Sim, embriaguez voluntária é sempre no mínimo uma defensa parcial para qualquer crime que requeira mens rea. ","Não, a anfitriã foi negligente ao deixar um grupo de homens bêbados jogar um jogo perigoso de hardball, o que lhe impedia de se beneficiar da defesa. ","Não, vias de fato neste caso é um crime doloso geral para o qual a defesa com base em embriaguez voluntária não é disponível. ",D,professional_law,"Law, Governance, and Ethics"
90,"Um medicamento contra altos níveis de colesterol foi aprovado pela FDA e comercializado por seu fabricante. Surgiram relatos que associam o medicamento a casos de demência precoce, e diversos processos judiciais foram iniciados por consumidores prejudicados, que alegaram responsabilidade objetiva por defeito do produto. Em juízo, o fabricante provou que realizou testes rigorosos, mas que novas descobertas científicas, indisponíveis naquele momento, agora apontam a vulnerabilidade de certas pessoas ao medicamento. A empresa tem responsabilidade objetiva perante as vítimas, ainda que os conhecimentos médicos não estivessem disponíveis quando o produto foi desenvolvido e colocado no mercado?","Sim, a responsabilidade objetiva aplica-se a empresas farmacêuticas, sendo irrelevantes questões relativas a conhecimento dos defeitos.","Sim, o fabricante deve assumir o custo da indenização a essas vítimas inocentes que tomaram o medicamento defeituoso.","Não, a empresa não tem o dever de conduzir pesquisas para determinar a segurança de um produto.","Não, quando informações médicas ou científicas sobre determinado defeito não tiverem sido descobertas ainda, a empresa não terá responsabilidade objetiva pela colocação do referido produto no mercado.",D,professional_law,"Law, Governance, and Ethics"
30,Leo Tolstoy diz que arte é _____.,expressão,forma,representação,abstrata,A,philosophy,"Law, Governance, and Ethics"
96,Hare alega que todos os argumentos morais são:,inúteis.,válidos.,ad hominem.,saudáveis.,C,philosophy,"Law, Governance, and Ethics"
1210,"Um reconhecido colunista de um jornal de Washington estava pesquisando a história de um advogado que havia sido nomeado procurador-geral dos Estados Unidos e aguardava confirmação do Senado. Um dos estagiários do colunista elaborou um plano que lhe permitiria ganhar o favor do colunista. Uma noite, sem contar a ninguém, o estagiário entrou no escritório particular do advogado e copiou várias cartas referentes a ""truques sujos"" perpetrados pelo advogado durante a recente campanha para presidente. Quando o estagiário apresentou ao colunista os frutos de sua diligente pesquisa, o colunista ficou bastante impressionado e imediatamente imprimiu trechos do material. Se o advogado ajuizar ação civil contra o colunista por invasão do direito à privacidade, o requerente provavelmente irá","vencer, pois a ação do estagiário constituiu uma invasão ilícita de fatos privados.","vencer, pois a publicação não era digna de notícia.","perder, pois o que o colunista publicou era verdade, estabelecendo assim que não havia “luz falsa”.","perder, pois o colunista não esteve envolvido na violação de domicílio e não conspirou com o estagiário em relação à violação de domicílio.",D,professional_law,"Law, Governance, and Ethics"
1318,"Liang, um estudante talentoso de outro país, formou-se em diversas universidades dos Estados Unidos e decidiu permanecer nos Estados Unidos para lecionar. Poderia uma lei estadual que exige a cidadania dos professores impedi-lo de lecionar?","Sim, pois os estados podem regulamentar os estrangeiros.","Sim, pois o professor pode exercer muita influência.","Não, salvo se utilizarem a justificativa relacionada a um padrão legítimo de interesse estatal.","Não, não há interesse estatal convincente.",D,professional_law,"Law, Governance, and Ethics"
590,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 1 | Como advogado, não importa se os meus clientes são ricos ou não. Cenário 2 | Eu fiz questão de pegar alguns robes e toalhas do hotel como souvenir.","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",C,moral_scenarios,"Law, Governance, and Ethics"
60,"Qual das seguintes opções é, de acordo com a introdução do capítulo 8, definido tipicamente como o ato ou prática de matar ou permitir que alguém morra?",assassinato,assassinato ético,suicídio,eutanásia,D,moral_disputes,"Law, Governance, and Ethics"
1392,"Uma escola contratou um idoso para atuar como guarda de travessia em uma faixa de pedestres localizada em frente à escola. O contrato assinado entre as partes exigia que o idoso ficasse na faixa de pedestres todos os dias úteis à tarde, das 14h às 16h, e acompanhasse as crianças que saíssem da escola até o outro lado da rua. O idoso deveria receber US$ 250,00 por semana por seus esforços. O contrato também ressaltava a importância da segurança das crianças e previa que, se o idoso deixasse de comparecer ao trabalho sem avisar com antecedência para que se pudesse providenciar um substituto, ele estaria sujeito a uma multa de US$ 200,00 por incidente. A cláusula contratual que torna o idoso responsável por uma multa de US$ 200,00 por incidente pode ser melhor descrita como ",cláusula penal. ,cláusula de indenização indeterminada. ,cláusula de penalidade e perdimento. ,cláusula aleatória. ,C,professional_law,"Law, Governance, and Ethics"
774,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 1 | Fiquei endividado para poder pagar a minha noitada de jogos em Nevada. Cenário 2 | Eu tirei a minha arma para fora para que eu pudesse limpá-la.","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",B,moral_scenarios,"Law, Governance, and Ethics"
564,"Uma lei federal que rege a fraude do vale-refeição torna crime adquirir ou deter conscientemente cupons de alimentação de maneira não autorizada pela lei ou pelos regulamentos. O dono de uma mercearia comprou um vale-refeição com desconto de um agente disfarçado e foi preso por violar a lei. Em juízo, o dono da mercearia alegou que o governo precisaria provar que ele tinha a intenção específica de cometer um crime. O governo alegou que só precisava demonstrar que ele adquiriu conscientemente o vale-refeição, e que este não era um crime intencional específico. O juiz de primeira instância adotou a interpretação do governo e o dono da mercearia foi condenado. A apelação do dono da mercearia chegou à Suprema Corte dos EUA. O Tribunal reverterá ou confirmará a condenação? Por quê?","A condenação será revertida, pois o dono da mercearia está isento da lei, que se aplica apenas aos consumidores que utilizam o vale-refeição ilegalmente.","A condenação será revertida, pois a melhor interpretação é que a mens rea está incluída, e o proprietário precisa saber que sua conduta viola a legislação penal.","A condenação será afirmada, pois o significado de conscientemente não conota que deva haver conhecimento específico por parte do ator de que o que ele está fazendo é ilegal.","A condenação será afirmada, pois a tendência moderna da lei é reconhecer a responsabilidade penal sem mens rea ou intenção criminosa de tipo específico.",B,professional_law,"Law, Governance, and Ethics"
274,"Na vida moral, os sentimentos são _____.",essenciais e inevitáveis,essenciais para a imparcialidade,um guia infalível,baseados na razão,A,philosophy,"Law, Governance, and Ethics"
331,"Um homem sofreu queimaduras por frio quando derramou em seu colo um refrigerante que havia comprado num restaurante. O homem processou o restaurante por culpa e buscou indenização. Em juízo, o advogado do homem chama uma testemunha para declarar que a testemunha também sofreu queimaduras pelo frio quando derramou em seu colo um refrigerante que havia comprado no restaurante duas semanas antes. A testemunha também declarou que informou o restaurante sobre sua lesão imediatamente após tê-la sofrido. Após a contestação do advogado do restaurante, o juiz de primeira instância deve decidir que o depoimento da testemunha é ","admissível para provar a culpa do restaurante, desde que o tribunal dê uma instrução de advertência de que o depoimento não deve ser considerado como fundamento para a questão da indenização. ",admissível para provar que o restaurante deveria ter conhecimento do perigo de queimadura por frio que seus refrigerantes apresentavam. ,"inadmissível, porque não constitui matéria de fato. ","inadmissível, porque busca pôr em evidência negócios separados e não relacionados com terceiros. ",B,professional_law,"Law, Governance, and Ethics"
563,"Celso está processando Mário por danos monetários. Por acreditar que partes do depoimento de Mário são altamente favoráveis ​​ao seu caso, o advogado de Celso pretende ler partes do depoimento no julgamento, em vez de chamar Mário para depor. Mário se opõe ao uso do depoimento por Celso no julgamento. Qual é a provável decisão do tribunal?","Celso poderá usar o depoimento no julgamento, mas, se solicitado, deverá ler todas as partes que, para ser justo, devam ser consideradas com a parte apresentada.","Celso poderá usar o depoimento no julgamento, mas apenas para contradizer ou contestar declarações ou argumentos prévios inconsistentes de Mário.","Celso não poderá usar o depoimento no julgamento, pois Mário pode testemunhar e não existem circunstâncias excepcionais.","Celso não poderá usar o depoimento no julgamento, pois isso tornaria Mário sua testemunha e imune à contestação.",A,professional_law,"Law, Governance, and Ethics"
94,"De acordo com Stevenson, desacordos morais envolvem:",discordância em interesses.,discordância em crenças.,discordância em teorias.,discordância em práticas.,A,philosophy,"Law, Governance, and Ethics"
300,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 1 | Coloquei açúcar no café do meu marido. Cenário 2 | Encontre meus pais estavam deitados na cama eu peguei os seus anéis de casamento.","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",C,moral_scenarios,"Law, Governance, and Ethics"
140,"De acordo com Epicuro, o homem sábio:",anseia pelo fim da vida.,teme a cessação da vida.,não se preocupa com a morte.,percebe que a morte é uma ilusão.,C,philosophy,"Law, Governance, and Ethics"
45,O máximo em que um indivíduo acredita que pode controlar sua vida é determinado pela sua _____________.,Imaginação moral,Integridade pessoal,Desenvolvimento cognitivo moral,Locus de controle,D,business_ethics,"Law, Governance, and Ethics"
44,"Suponha que essa pergunta ocorra em um estado com “teoria do gravame”. Uma mulher e seu companheiro compartilham uma propriedade como colocatários com direito de sobrevivência. Ele contraiu dívidas que não contou a ela e, por isso, usa sua participação na propriedade para obter secretamente uma hipoteca do banco. Quando ele morre, o banco tenta executar a hipoteca. Ele pode fazer isso? Aplique a opinião da maioria sobre essa questão.","Não, o ônus da hipoteca não poderia destruir a locação conjunta e, quando o parceiro morre, a propriedade passa, por força de lei, para o colocatário sobrevivente.","Não, embora a hipoteca tenha destruído o condomínio sem sucessão a herdeiros, o banco precisa obter uma escritura de trust para executar a propriedade conjunta.","Sim, o banco obteve o título da propriedade em virtude da hipoteca, que destruiu o condomínio sem sucessão a herdeiros, e pode executar sua garantia.","Sim, a hipoteca era o equivalente a uma escritura de trust e o condomínio sem sucessão a herdeiros foi desfeito pelo ônus da hipoteca, dando ao banco autoridade legal irrestrita para executar sua hipoteca.",A,professional_law,"Law, Governance, and Ethics"
55,Os dois tipos de argumentos contra a homossexualidade aos quais Corvino responde são,argumentos de naturalidade e argumentos de fidelidade.,argumentos de danos e argumentos de comando divino.,argumentos de não naturalidade e argumentos de danos.,argumentos de naturalidade e argumentos econômicos.,C,moral_disputes,"Law, Governance, and Ethics"
1138,"Um piloto decidiu voar em seu pequeno avião para outra cidade para uma visita de final de semana. Ele convidou um de seus melhores amigos para ir como passageiro. Perto do final do voo, o piloto viu uma neblina adiante, mas decidiu que ele conseguiria navegar através dela. Ele se perdeu na neblina e sofreu um acidente na lateral de uma montanha. O piloto e seu passageiro foram mortos instantaneamente no acidente. Se a família do passageiro processar o espólio do piloto por ato ilícito com resultado morte, o resultado mais provável será que requerente","sejam indenizados em razão de responsabilidade objetiva, porque o piloto se envolveu em uma atividade anormalmente perigosa.","sejam indenizados em razão de negligência, porque o piloto deixou de exercitar cuidado razoável na operação do avião.","não sejam indenizados, porque o passageiro não pagou para viajar no avião.","não sejam indenizados, porque o passageiro expôs a si mesmo a um perigo conhecido.",B,professional_law,"Law, Governance, and Ethics"
44,Outro nome para a falácia da redução ao absurdo é,tu quoque,ad baculum,ad hominem,reductio ad absurdum,D,logical_fallacies,"Law, Governance, and Ethics"
44,Mill acha que cada pessoa deseja,cumprir seu próprio dever.,ser virtuosa.,a própria felicidade.,nenhuma das alternativas,C,moral_disputes,"Law, Governance, and Ethics"
761,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 1 | Desde que um político literalmente votou contra aumentar os subsídios para pomares de maçã, decidi jogar uma torta de maçã no político e disse para ele votar diferente na próxima vez . Cenário 1 | Eu garanti que a minha potente luz de segurança esteja iluminando a janela do quarto do meu vizinho.","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",A,moral_scenarios,"Law, Governance, and Ethics"
411,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 1 | Disse ao meu chefe que estava com dor de cabeça para poder ir para casa jogar videogame. Cenário 2 | Peguei o suéter da minha amiga para levar para a lavanderia.","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",B,moral_scenarios,"Law, Governance, and Ethics"
233,"Uma objecção à ética do cuidado é que ela parece implicar que somos responsáveis ​​pelas nossas atitudes, mesmo que elas pareçam não estar sob o nosso controlo voluntário. Collins responde argumentando que",atitudes de cuidado não são atitudes morais de forma alguma.,muitas vezes podemos levar-nos a ter atitudes de cuidado indiretamente,"quando deixamos de ter atitudes de cuidado, isso significa que nenhuma atitude de cuidado foi exigida de nós para com alguma pessoa",Collins concorda com a objeção.,B,moral_disputes,"Law, Governance, and Ethics"
115,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 1 | Eu não visitei o bebê quando eu estava doente. Cenário 2 | As pessoas ricas adoram ficar embriagados nos iates e eu, como sou seu capitão, nunca estou sóbrio.","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",C,moral_scenarios,"Law, Governance, and Ethics"
950,"Um estado, de modo geral, oferece financiamento para o atendimento médico de seus residentes que não podem pagar pelos cuidados médicos. A lei estadual, no entanto, proíbe o uso desse financiamento estadual em cirurgias para pessoas que tenham residido no estado por menos de um ano, exceto em situações de emergência. Uma mulher se mudou para o estado há dois meses em busca de emprego permanente. Seu médico recomenda uma cirurgia não emergencial para tratar uma condição médica. A cirurgia se qualificaria para financiamento estadual se a mulher residisse no estado por um ano ou mais. A mulher entrou com processo para invalidar a lei estadual que proíbe o financiamento estadual de sua cirurgia. A mulher sairá vencedora nesta ação?","Não, pois a lei preserva, razoavelmente, os recursos limitados do estado.","Não, pois a lei impede, razoavelmente, gastos de recursos estatais com residentes temporários.","Sim, pois a lei prejudica o direito fundamental da mulher à assistência à saúde.","Sim, pois a lei prejudica o direito fundamental da mulher de ir e vir.",C,professional_law,"Law, Governance, and Ethics"
37,"De acordo com Hobbes, a definição de injustiça é _____.",desobediência à soberania,desobediência à lei de Deus,falha em cumprir um contrato,falha em respeitar os direitos inerentes,C,philosophy,"Law, Governance, and Ethics"
464,"Um pedestre caminhava pelo passeio de um edifício que estava sendo pintado. Uma escada utilizada pelos pintores caiu e atingiu o pedestre, causando-lhe uma lesão no ombro. Em uma ação ajuizada pelo pedestre contra a empresa de pintura com base na teoria da negligência, qual das seguintes afirmações é a mais correta no que se refere ao ônus da prova?","O pedestre deve provar, por meio da verdade real, que a empresa de pintura foi negligente.","O pedestre deve provar, por meio da prova mais forte, que a empresa de pintura foi negligente.","A empresa de pintura deve provar, por meio da prova mais forte, que não foi negligente.",Há presunção absoluta de negligência sobre a empresa de pintura à luz da teoria da res ipsa loquitur.,B,professional_law,"Law, Governance, and Ethics"
5,A faculdade de ________ acredita que a promoção da eficiência do mercado deve ser o objetivo central da tomada de decisões jurídicas.,Direito e Economia,Estudos jurídicos fundamentais,História,Leis naturais,A,jurisprudence,"Law, Governance, and Ethics"
23,Qual proposição abaixo pode ser caracterizada como a refutação mais poderosa de Hart ao argumento de Lord Devlin?,A sociedade não tem o direito de preservar a sua coesão moral e social por meio do direito penal.,Atos/Leis homossexuais causam indignação pública.,"Os tribunais são o melhor lugar para resolver questões morais, como as relacionadas à homossexualidade e à prostituição.",A lei é anacrônica.,A,jurisprudence,"Law, Governance, and Ethics"
369,"Em uma jurisdição que utiliza os índices de concedente e beneficiário, os seguintes eventos ocorreram na ordem listada abaixo: (1) em 1993, um mutuário hipotecou um rancho a uma companhia hipotecária para garantir uma nota de US$ 25.000,00, com vencimento em 31 de dezembro de 1993, com juros de 9,2% ao ano; (2) em 1996, a companhia hipotecária registrou a hipoteca do rancho; (3) em 2007, em um documento assinado, que o mutuário entregou à filha, o mutuário prometeu transferir o rancho para a filha por meio de uma escritura de quitação e pagar a dívida hipotecária no vencimento; (4) em 2008, o mutuário entregou à filha uma escritura de renúncia que não fazia referência à hipoteca. Se, depois disso, o mutuário deixasse de pagar a hipoteca e a companhia hipotecária entrasse com uma ação de in personam em face da filha para restituição do valor devido da dívida hipotecária, o credor hipotecário provavelmente","teria ganho de causa, pois a empresa de hipoteca é terceiro beneficiário do contrato entre o mutuário e a filha. ","teria ganho de causa, pois houve uma delegação implícita de deveres à filha.","não teria ganho de causa, pois a filha não prometeu pagar a dívida hipotecária.","não teria ganho de causa, pois a lei não permite que o hipotecário delegue funções nesse tipo de transferência de bem imóvel.",C,professional_law,"Law, Governance, and Ethics"
431,"Um requerente alega em uma ação contra uma loja que ele comprou um cachorro-quente com molho de carne que lhe causou intoxicação alimentar e dores excruciantes. A loja apresenta como prova fotocópias autenticadas de processos judiciais que revelam que o requerente ajuizou três processos parecidos nos últimos 18 meses contra outras lojas de conveniência, alegando intoxicação alimentar decorrente da compra de comida nessas lojas. As fotocópias devem ser consideradas","inadmissíveis, em razão da regra da prova direta.","inadmissíveis, pois são irrelevantes para a ação em tela.","inadmissíveis, pois há risco de julgamento indevido ao requerente, que se sobrepõe ao valor probatório dos elementos de prova.","admissíveis, pois evidenciam um padrão de ações judiciais semelhantes.",C,professional_law,"Law, Governance, and Ethics"
883,"Um homem foi processado por tentativa ou ameaça de lesão corporal e vias de fato ao admitir ter agredido uma vítima com um taco de sinuca durante uma discussão em um bar. O homem alegou que agiu em legítima defesa após ser agredido pela vítima, que estava bêbada e agressiva. Como primeira testemunha de defesa, o homem chama seu vizinho para testemunhar que o homem é um bom vizinho. O testemunho do vizinho é","admissível, porque é relevante demonstrar a improbabilidade de o homem ter cometido um ataque não provocado.","admissível, porque é relevante para apoiar a credibilidade do homem.","inadmissível, porque é apenas a opinião de uma testemunha abonatória.","inadmissível, porque não se refere a um traço pertinente do caráter do homem.",D,professional_law,"Law, Governance, and Ethics"
326,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 1 | Eu me ofereci para entrar na mina abandonada e resgatar as crianças perdidas. Cenário 2 | Não acho que a esposa dele fosse nem um pouco atraente, então, resolvi convidá-la para sair e ver o que ela diria.","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",C,moral_scenarios,"Law, Governance, and Ethics"
806,"Um condutor foi acusado de abandonar o local de um acidente. A condutora terá batido em um outro carro em um parque de estacionamento e fugiu sem deixar o seguro adequado e informações de contacto. Um transeunte anotou o número da sua matrícula e chamou a polícia. Em juízo, a condutora propõe-se testemunhar que, no dia a seguir ao acidente, se encontrou com o agente da polícia que estava investigando o acidente e disse-lhe que só se ia embora depois de inspecionar os dois carros e determinar que não havia danos. O transeunte não está disponível para testemunhar no julgamento. O testemunho do condutor é","admissível, uma vez que se trata do depoimento da própria testemunha, que está sujeita a interrogatório.","admissível, uma vez que se trata de uma declaração baseada em um conhecimento em primeira mão.","inadmissível, uma vez que o transeunte não está disponível e, por conseguinte, não pode contradizer o condutor.","inadmissível, pois trata-se de prova por ouvir dizer, sem exceção reconhecida.",D,professional_law,"Law, Governance, and Ethics"
705,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 1 | Eu gosto de ir para a igreja porque me faz sentir muito próximo de Deus. Cenário 2 | Eu colei da prova de um amigo para tirar nota boa.","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",C,moral_scenarios,"Law, Governance, and Ethics"
19,"Uma mulher processou o ex-empregador na justiça estadual, alegando discriminação por idade e sexo de acordo com as leis estaduais e federais. O advogado da mulher havia sido constrangido recentemente no tribunal pelo juiz ao qual o caso foi distribuído. Para não ter problemas com o juiz, o advogado da mulher transferiu o caso imediatamente para a justiça federal com base em competência de matéria federal. O advogado do empregador requereu tempestivamente a baixa dos autos para o tribunal de primeira instância. Provavelmente, como a justiça federal procederá?",Baixará todo o processo.,"Baixará as ações de competência estadual, mas manterá as ações de competência federal.",Manterá o caso para evitar o risco de parcialidade e incompetência ao levá-lo a um juiz que tenha demonstrado nítida hostilidade em relação ao advogado da mulher.,"Manterá o caso, porque ele foi removido em tempo hábil e a mulher alega ações de competência federal.",A,professional_law,"Law, Governance, and Ethics"
