subject,question,A,B,C,D,correct,out_chat_long,out_extracted_chat_long,out_chat_short,out_seqlogprob
professional_law,"A polícia recebeu informações de um informante confiável de que um réu estaria extorquindo dinheiro de uma vítima. O informante deu à polícia detalhes explícitos sobre o esquema de extorsão: o réu ligaria para a vítima de uma cabine telefônica pública em uma determinada esquina, em uma determinada data e horário, para fazer a exigência extorsiva. Sem notificar a companhia telefônica ou solicitar um mandado, a polícia instalou um dispositivo de escuta no telefone público. Na data e no horário especificados pelo informante, o réu ligou para a vítima da cabine telefônica e disse: ""É melhor você me pagar US$ 5.000,00 até a próxima semana ou eu mato você e a sua família"". O réu deu mais dados sobre como e onde fazer o pagamento. Com base na conversa gravada, a polícia prendeu o réu e o acusou de extorsão. Antes da audiência de julgamento, o advogado do réu pede que a conversa gravada seja excluída das provas. O pedido da defesa deve ser","concedido, pois a polícia não obteve um mandado antes de instalar o dispositivo de escuta.","concedida, pois a polícia não obteve aprovação prévia da companhia telefônica antes de instalar o dispositivo de escuta.","negado, pois o réu não tinha expectativa de privacidade.","negado, pois a polícia tinha causa provável com base nas informações fornecidas pelo informante.",A,"D) negado, pois a polícia tinha causa provável com base nas informações fornecidas pelo informante.

**Explicação:**

A lei brasileira (",D,D,D
professional_law,"Uma empresa de encanamento contratou um funcionário para trabalhar em vários locais de construção. O trabalhador usava seu próprio caminhão para se deslocar entre o depósito da empresa e os canteiros de obras, mas a empresa equipou o caminhão com um suporte para transportar tubos de encanamento. A empresa pagou o trabalhador pelo deslocamento entre o depósito e os canteiros de obras, mas não pelo trajeto de ida e volta ao trabalho. Como o trabalhador era obrigado a transportar tubos em seu caminhão enquanto dirigia entre o depósito e os locais de construção, a empresa perguntou ao trabalhador, antes de contratá-lo, se ele tinha carteira de motorista válida. O trabalhador respondeu que sim, mas, na verdade, sua carteira tinha sido suspensa porque ele havia sido condenado por colisões com veículos motorizados de forma imprudente. A empresa não verificou a declaração do trabalhador, e, certa manhã, o trabalhador estava dirigindo seu caminhão para o trabalho e causou uma colisão em que uma mulher ficou ferida. Em sua ação posterior contra a empresa de encanamento, com base em uma teoria de contratação negligente, a mulher provavelmente ganhará a causa?","Não, pois o dever da empresa de empregar cuidado suficiente na contratação de um motorista competente se estendia apenas a ações tomadas pelo trabalhador no âmbito de seu emprego.","Não, pois o trabalhador era um prestador de serviços independente.","Sim, pois a empresa equipou o caminhão do trabalhador com um suporte para tubos.","Sim, pois a empresa tinha o dever de garantir que seus funcionários tivessem carteiras de motorista válidas.",A,C,C,C,C
moral_scenarios,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 1 | Puxei o bebê de dois anos pelo braço quando ele estava brincando. Cenário 2 | Antes de sair de viagem, acendi uma vela para deixar a casa com um bom cheiro e que continuasse depois que eu saísse.","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",A,C) Não é errado,C,C,C
professional_law,"Um empresário era um ávido fã de beisebol que frequentemente viajava para um cassino e fazia apostas em jogos de beisebol. Em outubro de um determinado ano, seu querido time de beisebol estava nas eliminatórias e ele queria fazer uma grande aposta em seu time. Ele disse a um dos seus funcionários que queria apostar US$ 10 mil na vitória do campeonato pelo seu time, mas que não tinha tempo de ir ao cassino para fazer a aposta. Ele então disse ao funcionário que queria que o funcionário viajasse até o cassino e fizesse a aposta por ele. O empresário e o funcionário concordaram que o funcionário viajaria até o cassino, faria uma aposta de US$ 10 mil para o empresário e retornaria imediatamente. Em troca, o funcionário receberia US$ 500,00. O acordo foi reduzido a termo pelas partes. Após assinarem o acordo, o empresário entregou ao funcionário US$ 10 mil e uma passagem aérea de ida e volta. O empresário disse ao funcionário que este receberia US$ 500,00 após o retorno do funcionário. O funcionário chegou no dia seguinte e foi imediatamente ao cassino. Lá ele notou que a marquise no estacionamento estava apagada e coberta por uma faixa que dizia: “Cassino temporariamente fechado devido a reformas”. Não conseguindo falar com o empresário por telefone, o funcionário fez a aposta em outro estabelecimento de apostas localizado ao lado do cassino. Na manhã seguinte, o funcionário voltou e entregou o recibo da aposta ao empresário. Quando o empresário viu que a aposta havia sido feita em outro estabelecimento de apostas, ele disse com raiva ao funcionário: “Eu deliberadamente falei para você apostar os US$ 10 mil naquele cassino específico. Como você não seguiu minhas instruções, o negócio foi cancelado”. Como resultado, o empresário se recusou a pagar os US$ 500,00 ao funcionário. Se o funcionário iniciar um processo judicial por descumprimento contratual, o tribunal provavelmente determinará que fazer a aposta de US$ 10 mil em outro estabelecimento de apostas, e não no cassino, constituiu",descumprimento contratual.,modificação.,condição precedente construtiva que foi substancialmente cumprida.,quitação por impossibilidade.,C,A) descumprimento contratual.,A,A,A
moral_scenarios,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 1 | Enquanto fazia o teste, eu anotei as minhas respostas. Cenário 2 | Cortei o cabelo de muitas crianças na semana passada.","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",D,"C) Não é errado, Errado",C,C,C
professional_law,"Um homem e uma mulher concordaram que a mulher roubaria um banco e que, antes disso, o homem roubaria um carro para a mulher usar como veículo de fuga. O homem roubou um carro e estacionou a dois quarteirões do banco. Ele deixou a chave do carro debaixo do tapete com um bilhete dizendo que não queria mais se envolver no esquema. No dia seguinte, a mulher assaltou o banco e correu até o local onde o homem havia dito que deixaria o carro roubado. Ela então escapou no carro e desapareceu. Ela não compartilhou nenhum dinheiro com o homem. Em uma jurisdição que adotou a exigência bilateral de conspiração, o homem pode ser devidamente condenado por conspirar com a mulher para roubar o banco?","Não, pois o homem não recebeu nenhum benefício do roubo.","Não, pois o homem desistiu da conspiração.","Sim, pois o roubo foi realizado com êxito devido, em parte, às ações do homem.","Sim, pois houve um acordo para roubar o banco e um ato manifesto em prol do acordo.",D,"C) Sim, pois o roubo foi realizado com êxito devido, em parte, às ações do homem.",C,C,C
professional_law,"A requerente processou a seguradora da sua casa depois que a seguradora negou cobertura para danos causados ​por água na casa, supostamente causados ​​​​por um cano de plástico congelado que estourou. Em juízo, a seguradora convocou como perito um engenheiro, que testemunhou que o cano havia estourado por envelhecimento, e não por congelamento. No interrogatório, o engenheiro admitiu que cinco anos antes havia sido condenado por fraude fiscal, embora afirmasse que o erro foi do seu contador. Em resposta, a seguradora chama uma testemunha, que conhece bem o engenheiro e sua reputação, para testemunhar que (1) na opinião da testemunha, o engenheiro é uma pessoa confiável e (2) todos os vizinhos do engenheiro o descrevem como uma pessoa confiável. Quanto, se houver, do depoimento da testemunha é admissível?",Todos os depoimentos são admissíveis para apoiar a credibilidade do engenheiro.,"Somente a parte relativa à reputação do engenheiro é admissível, pois quando estão disponíveis provas de opinião e de reputação, apenas esta última é admissível nos termos de uma regra de preferência.","Somente a parte relativa à opinião da testemunha sobre o caráter do engenheiro, pois o relato da testemunha sobre os comentários dos vizinhos é prova por ouvir dizer.","Nenhum dos depoimentos é admissível, pois é colateral, não afetando a qualificação do engenheiro como perito.",A,"B) Somente a parte relativa à reputação do engenheiro é admissível, pois quando estão disponíveis provas de opinião e de reputação, apenas esta última",B,B,B
professional_law,"Um órgão estadual de educação, obedecendo a todas as determinações legais, obteve um terreno por meio de direito de desapropriação. O proprietário do terreno aceitou a indenização do valor justo de mercado e não recorreu. Nos 15 anos seguintes, o órgão manteve a propriedade, mas não implementou um uso educacional para ela. No 16° ano, o órgão abandonou o uso educacional pretendido e a vendeu em um leilão devidamente anunciado de acordo com a lei estadual. O proprietário original da terra recorreu, argumentando que o órgão só tomou uma propriedade plena e absoluta determinável e, quando cessou o uso educacional pretendido, o título de propriedade plena superior foi revertido para o proprietário original. O tribunal recursal provavelmente decidirá que o proprietário da terra pode reivindicar direitos para impedir a tentativa de transferência?","Não, pois o estado também adquiriu a propriedade plena e absoluta por usucapião após 11 anos contínuos e ininterruptos de posse.","Não, pois a transferência original foi realizada legalmente e o proprietário da terra recebeu o valor justo de mercado, permitindo assim uma presunção de propriedade plena e absoluta do órgão.","Sim, o direito de desapropriação é restrito à tomada de imóveis quando eles são urgentemente necessários para uso público, e o fato de não serem usadas para essa destinação derrotou a propriedade plena e absoluta do órgão.","Sim, pois toda tomada por direito de desapropriação implica um aspecto determinável de propriedade plena e absoluta para a compra pelo Estado.",B,C,C,C,C
professional_law,"Um assento num cinema desabou, fazendo o cliente que estava sentado no assento cair no chão e sofrer uma lesão nas costas. Em uma ação por indenização por danos pessoais do cliente em face do cinema, o cliente provavelmente","será indenizado, pois o teatro tinha o dever absoluto de cuidar para tornar as instalações seguras para a proteção de seus clientes.",será indenizado somente se o teatro tinha conhecimento prévio da condição perigosa do assento.,"não será indenizado, pois o teatro não tinha obrigação de inspecionar as instalações para descobrir perigos desconhecidos.","não será indenizado, a menos que o teatro tenha deixado de fazer uma inspeção adequada dos assentos para a segurança de seus clientes.",D,D,D,D,B
professional_law,"Um escritor era proprietário de um prédio em uma cidade. Esse era o único imóvel de que o escritor era dono. O prédio de três andares tinha uma loja no térreo e apartamentos nos outros dois andares. O escritor assinou um contrato de locação com um lojista, que alugaria o primeiro andar, onde ela planejava abrir uma loja de artigos esportivos. Depois de identificar as partes, as palavras operacionais do contrato de aluguel eram as seguintes: ""O locador concorda em alugar por três anos o primeiro andar de seu prédio na cidade para o locatário, reservando para o referido locador um aluguel anual no valor de US$ 12.000,00, pagos antecipadamente em parcelas mensais de US$ 1.000,00."" No momento da assinatura, o contrato de locação celebrado entre o escritor e o lojista",criou um contrato de aluguel periódico.,poderá ser rescindido a qualquer momento por qualquer uma das partes.,não transmitiu ao lojista um prazo de anos na lei.,"era nulo, inválido e não tinha efeitos legais.",C,A) criou um contrato de aluguel periódico.,A,A,A
jurisprudence,"Qual das seguintes alternativas explica, com mais exatidão, a comparação que Ross faz da vida social com o jogo de xadrez?",O xadrez é um jogo de habilidade; o sucesso na vida também é uma questão de habilidade.,"Vencer uma partida de xadrez, como a vida, depende frequentemente da sorte.","Tanto nos jogos de xadrez quanto na vida social, há efetivamente uma disputa ou competição.",A vida social é semelhante ao xadrez porque as ações individuais estão frequentemente relacionadas com uma ideia comum de regras.,D,C,C,C,C
moral_scenarios,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 1 | Eu votei em um homem que era inocente. Cenário 2 | Eu e minha irmã tivemos um relacionamento íntimo sexual.","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",C,"C) Não é errado, Errado",C,C,C
professional_law,"Um negociante de móveis vendeu móveis para um jovem casal com um crédito longe de perfeito. Eles assinaram um contrato que dizia que, se comprassem novos itens na conta, não teriam a propriedade das compras antigas até que as novas fossem pagas integralmente. Estas disposições complementares estavam no verso do documento. Eles já haviam pagado tudo o que haviam comprado na conta, exceto uma cadeira que compraram algumas semanas antes, quando o marido perdeu o emprego. A loja entrou com uma ação, tentando reaver todos os móveis já vendidos ao casal. O casal consegue prevalecer alegando abusividade?","Não, pois poderiam encontrar outra loja para lhes vender móveis, o que prova que não faltou poder de negociação.","Não, pois a loja concedeu-lhes crédito, e dever-se-ia esperar que o casal pagasse por tudo antes de adquirir qualquer coisa.","Sim, pois sempre que um vendedor coloca termos em disposições complementares, é prova de má-fé e abusividade.","Sim, pois uma combinação de fatores torna provável que o tribunal reconheça a abusividade nestas circunstâncias.",D,C,C,C,C
moral_disputes,Qual das seguintes opções é uma das respostas de Marneffe para a objeção de que a proibição do uso de drogas seria paternalista?,"A proibição do uso de drogas seria feita para o benefício dos outros, não para o benefício de quem quer produzir/vender drogas, de modo que não é paternalista em um sentido questionável. ","A proibição do uso de drogas seria paternalista, mas as consequências seriam boas o suficiente para superar as considerações sobre paternalismo.","A proibição do uso de drogas seria direcionada aos adultos, e o paternalismo só ocorre quando estão envolvidas crianças.",O paternalismo é sempre justificado quando as práticas paternalistas são genuinamente adotadas visando o melhor interesse das pessoas afetadas.,A,A,A,A,B
philosophy,Anscombe critica como absurda a ideia de Kant:,da coisa por si só.,de imperativo categórico.,do self fenomenal.,de legislar por si só.,D,A) da coisa por si só.,A,A,A
jurisprudence,A faculdade de ________ de jurisprudência afirma que a lei é um meio de alcançar e promover certos objetivos sociológicos.,História,Analítica,Comando,Sociologia,D,D) Sociologia,D,D,D
moral_disputes,"Papadaki pensa que nos casos em que os parceiros de um relacionamento negam mutuamente a humanidade um do outro, isso",ocorre a objetificação sexual.,a objetificação sexual não ocorre.,não há uma resposta direta à questão de saber se ocorre ou não a objetificação sexual.,o contexto do relacionamento determinará se ocorreu ou não a objetificação sexual.,C,C,C,C,C
professional_law,"Em 1.º de março de 1999, um viúvo, único proprietário e ocupante de um imóvel, morreu e legou o imóvel tanto para seu colega de trabalho quanto para sua chefe “como propriedade comunitária”. O colega de trabalho e a chefe eram irmãos e nenhum dos dois era casado. O imóvel consistia em uma casa unifamiliar com quintal, garagem e acesso de veículos. A chefe faleceu sem testamento em 1.º de maio de 2001, deixando a filha como única herdeira. Enquanto ocupou o imóvel, a chefe pagou US$ 3.500,00 por ano em seguros e impostos sobre o imóvel. Além disso, as instalações da propriedade tinham um valor justo de mercado durante esse período de US$ 1.500,00 por ano. Após a morte da mãe, a filha da chefe mudou-se para a casa em 2 de maio de 2001. Como administradora do patrimônio da chefe, a filha procurou cobrar do colega de trabalho metade do custo do seguro e do imposto sobre o imóvel que a chefe pagava. Por outro lado, o colega de trabalho alegou que não era responsável por nenhuma das despesas. Além disso, o advogado do colega de trabalho o informou que a filha não detinha nenhuma participação no imóvel e que desde a morte da chefe, ele (o colega de trabalho) era dono de todo o imóvel. O advogado também informou ao colega de trabalho que a filha lhe devia aluguel por todo o período de ocupação e, se continuasse a ocupar o imóvel, também seria responsável pelo seguro e pelo imposto imobiliário. Em uma ação adequada para determinar a propriedade do imóvel, qual é o direito real, se houver, da filha no referido imóvel?","Nenhuma, pois o colega adquiriu a titularidade da totalidade dos bens por direitos sucessórios.","Um interesse indiviso de metade, pois após o falecimento sem testamento de um coproprietário, a participação deste último recai sobre seus respectivos herdeiros.","Um interesse indiviso de metade, pois em uma comunhão de mão comum, qualquer um dos irmãos pode fazer uma disposição testamentária.","Um interesse integral indiviso, pois em uma propriedade conjunta, cada proprietário conjunto é parte integrante do grupo de unidades que possui o todo.",B,"A) Nenhuma, pois o colega adquiriu a titularidade da totalidade dos bens por direitos sucessórios.

**Explicação:**

A",A,A,A
philosophy,Feinberg alega que a melhor maneira de perseguir a felicidade é:,perseguir o prazer.,perseguir a felicidade.,esquecer-se da felicidade.,Nenhuma das alternativas.,C,B) perseguir a felicidade.,B,B,B
professional_law,"Uma nova empresa fez um contrato com um fabricante de widgets para a compra de 100.000 widgets. O CEO da nova empresa disse ao gerente do fabricante de widgets que um lucro substancial dependia do recebimento dos widgets. O fabricante descobriu que não poderia produzir os widgets devido a falhas no equipamento. A empresa processou o fabricante por inadimplemento contratual, alegando lucros cessantes de US$ 10 milhões. O CEO declarou detalhadamente em depoimento sobre projeções de venda da empresa. Um perito apoiou suas projeções de lucros cessantes; não houve depoimento de perito por parte do fabricante. O tribunal permitirá que a empresa receba a indenização por lucros cessantes alegada?","Não, apesar do depoimento do perito, os lucros previstos para uma nova empresa são muito especulativos e não são concedidos.","Não, pois as falhas do equipamento foram uma ocorrência escusável que o fabricante não podia prever.","Sim, as indenizações por lucros cessantes foram suficientemente comprovadas pelas evidências, incluindo depoimentos de peritos.","Sim, uma nova empresa em geral pode receber seus lucros cessantes porque é mais fácil de provar do que se a empresa tivesse muitas contas para complicar suas projeções.",C,"C) Sim, as indenizações por lucros cessantes foram suficientemente comprovadas pelas evidências, incluindo depoimentos de peritos.",C,C,C
professional_law,"Um homem morreu em 1985. Seu testamento deixava sua propriedade em um estado do Centro-Oeste para que seu filho e sua filha “compartilhassem e compartilhassem igualmente como coproprietários”. Na época da morte do pai, a filha morava em uma parte diferente do estado do Centro-Oeste (no qual a propriedade estava localizada), enquanto o filho residia em um estado do Sudoeste. Após o funeral, a filha voltou para sua residência, mas o filho decidiu ocupar o imóvel. Ele colocou seu nome na caixa de correio e pagou os impostos e despesas de manutenção. De modo geral, a filha sabia do que o filho estava fazendo, mas como não se importava com o espólio, a filha não pressionava o irmão a respeito da propriedade. Desde 1985, a filha não pagou nenhum aluguel ou outra compensação ao irmão, nem este solicitou o pagamento. Em janeiro de 2010, surgiram os primeiros litígios entre o filho e a filha relacionados aos seus respectivos direitos à herança. O estado em que o imóvel está localizado reconhece os tipos usuais de copropriedade do direito consuetudinário e não há legislação aplicável sobre o assunto. Agora, o filho reivindica a propriedade plena e absoluta do espólio e move uma ação contra sua irmã para obter o direito de manter a propriedade livre do interesse da irmã. Se os estados do Centro-Oeste onde a propriedade está localizada tiverem uma lei de usucapião ordinária de 20 anos, a sentença será a favor de quem?","Da filha, pois um coproprietário não pode adquirir o título por usucapião contra o outro.","Da filha, pois não há provas de que o irmão tenha praticado atos suficientes para constituir uma destituição.","Do filho, pois os atos das partes indicam a intenção da irmã de renunciar ao direito de propriedade do espólio.","Do filho, pois durante os últimos 25 anos o filho exerceu o tipo de ocupação normalmente considerado suficiente para satisfazer as exigências de usucapião.",B,C,C,C,C
moral_scenarios,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 1 | Incentivei meu amigo a ignorar a dor da coluna dela. Cenário 2 | Quando eu fiz o checkout do hotel, eu levei as toalhas que usei.","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",A,"C) Não é errado, Errado",C,C,C
moral_scenarios,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 1 | Eu coletei as fezes do meu cão para não ser acusado de deixar lixo na rua. Cenário 2 | Estou ensinando o meu filho de 18 anos a dirigir em um estacionamento privado.","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",D,"C) Não é errado, Errado",C,C,C
professional_law,"Um comprador assinou um contrato de venda para adquirir uma propriedade. Tal contrato continha uma cláusula de contingência que exigia que o comprador concluísse um pedido de financiamento dentro de um período de tempo especificado. O contrato declarava que o tempo era essencial. O comprador não fez o pedido. Em vez disso, perguntou a um amigo corretor de financiamentos se ele se qualificaria. A vendedora disse ao comprador que ela havia rescindido a venda porque não havia sido feita uma solicitação de financiamento dentro do período acordado. Alguns dias depois, o comprador fez uma solicitação atrasada e recebeu a aprovação, mas a vendedora insistia na rescisão do contrato. É provável que a vendedora saia vencedora na rescisão da operação?","Sim, pois o comprador não fez uma solicitação em tempo hábil e perdeu a proteção da cláusula de contingência.","Sim, pois ela rescindiu a venda antes de ele a notificar sobre a aprovação da primeira notificação, e a primeira notificação feita é a que vale.","Não, pois o tempo de seu atraso representava um atraso “de minimus” que não deveria precluí-lo do benefício do negócio.","Não, pois a solicitação original feita ao seu amigo corretor de financiamento era uma solicitação em tempo hábil, dentro do espírito do contrato.",A,"C) Não, pois o tempo de seu atraso representava um atraso “de minimus” que não deveria precluí-lo do benefício",C,C,C
moral_disputes,"De acordo com Hourdequin, o individualismo nos leva a dois tipos de problemas. Quais são eles?",Ele leva a uma falha no desenvolvimento da integração e da integralidade.,Ele nos leva a situações de “tragédia dos comuns” e instila em nós uma visão atomística das pessoas. ,Ele leva à elevação das emissões de gases de efeito estufa e ao maior consumo de produtos não recicláveis. ,"Nossa tendência é pensar em nossas obrigações morais como apenas obrigações pessoais, logo pensamos que só podemos defender políticas em situações de “tragédia dos comuns”.",D,A,A,A,A
moral_scenarios,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 1 | Movi a escada quando não tinha ninguém nela, para que eu mesmo pudesse usá-la. Cenário 2 | Assisti filmes pornô com a minha esposa.","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",D,C) Não é errado,C,C,C
professional_law,"Em 1995, um agente imobiliário adquiriu uma área de 100 acres, localizada em um munícipio ao norte de um estado. Pouco tempo depois, o agente imobiliário preparou um plano de loteamento e criou 100 lotes residenciais de um acre cada neste trecho. Em 1996, o plano de loteamento foi registrado no cartório do município. Durante os anos seguintes, o agente imobiliário vendeu 60 lotes residenciais para compradores individuais. Cada escritura especificava que cada lote designado no plano de loteamento deveria ser registrado no cartório do município. Cada escritura também previa o seguinte: “Nenhum trailer ou casa móvel será construído ou mantido em qualquer lote dentro do loteamento.” Em 2002, o agente imobiliário transferiu os 40 lotes restantes a um construtor por escritura que incluía texto idêntico ao contido nas primeiras 60 escrituras. Em 2007, a construtora havia vendido todos os 40 lotes. Cada uma dessas escrituras identificava cada lote como parte do loteamento, mas não incluía a cláusula relativa às casas móveis. Em 30 de janeiro de 2008, um homem que havia adquirido um dos lotes residenciais da construtora colocou uma casa móvel em sua propriedade. Uma mulher proprietária de um terreno no loteamento inicia uma ação contra o homem para forçá-lo a retirar a casa móvel. Qual das seguintes alternativas seria a declaração jurídica mais precisa?","Não há nenhuma restrição aplicável, pois a disposição de casas móveis não permanece com a terra, independentemente da propriedade.","Não há restrição executória, pois a escritura do homem não incluía a disposição de casa móvel.","A restrição a casas móveis se aplicaria, pois um esquema de desenvolvimento comum foi estabelecido para todo o loteamento.",O resultado depende se um esquema de desenvolvimento comum foi organizado para toda a subdivisão.,C,C,C,C,C
professional_law,"No dia de Ação de Graças, um pai estava fatiando um peru para a sua família quando se cortou gravemente na mão. A faca cortou uma artéria, fazendo com que o pai perdesse muito sangue. A mãe telefonou ao médico de família, que lhe deu instruções para levar o pai ao hospital local. O médico disse-lhe que iria lá ter com ele. Pouco tempo depois, no hospital, o médico tratou o pai e fez-lhe um penso na mão. No entanto, devido ao fato de o pai ter perdido uma quantidade considerável de sangue, o médico ordenou uma transfusão de sangue imediata. Depois de determinar que o tipo de sangue do pai era A positivo, o médico deu instruções orais a uma enfermeira, empregada do hospital, para obter o sangue necessário para a transfusão. A enfermeira seguiu as instruções do médico, telefonou para o serviço de banco de sangue do hospital e pediu uma unidade de sangue A positivo. A pessoa do banco de sangue que recebeu a chamada da enfermeira anotou corretamente o pedido de sangue A positivo. No entanto, alguém que trabalhava no banco de sangue, cuja identidade não pode ser determinada, cometeu um erro ao preencher o pedido e ao etiquetar a unidade de sangue para o pai. Como resultado, o banco de sangue enviou uma unidade de sangue B-positivo incorretamente rotulada como sangue A positivo. Depois de lhe ter sido administrado o sangue errado, o pai morreu. O hospital tem uma regra escrita em vigor segundo a qual todas as ordens de transfusão de sangue devem ser feitas por escrito pelo médico responsável pelo tratamento do doente. Embora o médico tivesse conhecimento da regra do hospital, ele, tal como muitos outros médicos do hospital, ordenava frequentemente transfusões de sangue através de instruções orais. Se a mãe ajuizar uma ação por homicídio culposo contra o médico, o mais provável é que","saia vencedora, pois o médico seria responsável pelo erro cometido pelo banco de sangue ao administrar o sangue errado.","saia vencedora, pois o médico não respeitou a regra do hospital relativa às ordens de transfusão de sangue.","saia perdedora, pois o médico agiu da mesma forma que muitos outros médicos do hospital.","saia perdedora, pois a pessoa não identificada no banco de sangue, responsável pelo envio do tipo de sangue errado, não era um empregado do médico.",D,A,A,A,B
professional_law,"Uma estudante de 20 anos de uma universidade estadual matriculou-se no programa R. O. T. C [Reserve Officers' Training Corps. (Corpo de Treinamento de Oficiais da Reserva)]. Como parte de seu treinamento R. O. T. C., a estudante foi obrigada a passar três semanas em um acampamento para exercícios de campo de verão do Corpo de Fuzileiros Navais. Enquanto estava no acampamento, a estudante recebeu um novo capacete sintético para usar durante o treinamento básico. Uma agência comprou os novos capacetes de alta tecnologia para o Exército e para o Corpo de Fuzileiros Navais a fim de substituir o antigo capacete “panela de aço” usado durante décadas pelos soldados dos EUA. Esses novos capacetes sintéticos eram fabricados por uma corporação e feitos de Kevlar, um material de fibra extremamente resistente com altas qualidades de absorção de energia que o tornavam mais forte do que o aço em alguns aspectos. Quando a estudante recebeu seu capacete do Corpo de Fuzileiros Navais, o capacete estava embalado, dentro da caixa original fornecida pela corporação. Na caixa, havia uma foto que mostrava um fuzileiro naval de folga usando o capacete enquanto andava de bicicleta. Certa tarde, após o treino, a estudante decidiu dar um passeio de bicicleta. Acreditando que poderia ser utilizado como capacete de bicicleta, a estudante decidiu utilizá-lo para esse fim. Durante o passeio, a estudante bateu em um buraco profundo que a fez voar de cabeça da bicicleta. Enquanto ela voava pelo ar, a alça do capacete se soltou e o capacete caiu de sua cabeça. A estudante caiu em um gramado e ficou temporariamente inconsciente. Ela sofreu ferimentos graves na cabeça. Se a estudante ajuizar uma ação contra a corporação para recuperar indenização por danos pelos seus ferimentos, ela provavelmente","vencerá, pois, segundo a doutrina da Res ipsa loquitur, a negligência pode ser inferida do fato de o capacete ter saído da cabeça da estudante.","vencerá, pois a embalagem original mostrava a foto de um ciclista usando o capacete.","perderá, pois a estudante não estava usando o capacete para o fim pretendido.","perderá, pois o capacete foi elaborado adequadamente pela corporação para o uso pretendido pelo Exército e pelo Corpo de Fuzileiros Navais.",B,A,A,A,D
moral_scenarios,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 1 | Eu queria alimentar o pássaro, então, joguei um pedaço de pão diretamente nele. Cenário 2 | Meu filho está mostrando sintomas anômalos, então, pensei em dar a ele o medicamento de prescrição que o médico me passou.","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",C,"C) Não é errado, Errado",C,C,C
moral_scenarios,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 1 | Coloquei 5 dólares na bandeja da coleção quando foi passada para mim. Cenário 2 | Vite o meu cachorro precisava ir ao banheiro, então, eu levei para o quarto do meu irmão.","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",C,"C) Não é errado, Errado",C,C,C
logical_fallacies,Homens dirigem melhor do que mulheres. A prova disso é que os homens dirigem melhor do que mulheres na estrada.,Pressupor a questão,Ad hominem (ataque pessoal),Falso dilema,Apelo à piedade,A,C) Falso dilema,C,C,C
business_ethics,"_____________, como a ____________ nos Estados Unidos, são um fator chave para impulsionar práticas comerciais éticas.","Leis, Lei Sarbanes-Oxley","Políticas internas da empresa, Lei contra práticas corporativas antiéticas","Políticas internas da empresa, Lei Sarbanes-Oxley","Leis, Lei contra práticas corporativas antiéticas",A,C,C,C,C
philosophy,"No ponto de vista de Hobbes, uma lei da natureza é:",um mandamento de Deus.,"um princípio de dever, conhecido pela intuição.","um princípio, conhecido pela razão, que nos proíbe de fazer algo destrutivo com nossa vida.",Nenhuma das alternativas.,C,C,C,C,C
moral_disputes,"Os casos em que um médico está envolvido, em algum grau, na assistência a um indivíduo para cometer suicídio são conhecidos como",assassinato misericordioso.,suicídio auxiliado pelo médico. ,eutanásia involuntária.,todas as anteriores,B,B) suicídio auxiliado pelo médico.,B,B,B
moral_scenarios,"Para qual dos seguintes cenários o personagem principal (que usa eu/meu) fez algo claramente errado, do ponto de vista moral, conforme os padrões morais comuns dos EUA de 2020? Cenário 2 | Comi os biscoitos que a minha mãe comprou para o meu irmão. Cenário 2 | Dei um pouco de sopa fervendo para a criança faminta.","Errado, Errado","Errado, Não é errado","Não é errado, Errado","Não errado, Não é errado",A,"C) Não é errado, Errado",C,C,C
